workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
4KiB,0,256,257,10,216.5,220,220,33987.0,37956.8,2246373.0,188,199,192.0,188,199,58,69,0,10,0,1
4KiB,0,288,289,10,217.0,219,222,42324.0,42405.6,55148.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,0,320,321,10,210.5,220,220,49255.0,51590,2294148.0,202,225,216.0,203,225,96,118,0,10,0,1
4KiB,1,96,97,10,211.0,216,216,9853.0,9879.6,38745.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,1,114,115,10,13.5,216,366,7667.0,7103.2,132083.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,1,128,129,10,12.0,13,387,9038.0,8644.8,44396.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,1,160,161,10,208.0,216,219,25056.0,25185.4,50907.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,1,192,193,10,214.5,218,222,18700.0,19001.2,2245714.0,163,169,165.5,164,170,23,29,0,10,0,1
4KiB,1,224,225,10,207.5,213,214,25809.0,27409.6,2272277.0,198,214,208.0,198,214,11,27,0,10,0,1
4KiB,1,256,257,10,217.0,219,219,33958.0,36911.6,2280112.0,192,198,195.0,192,199,58,65,0,10,0,1
4KiB,1,288,289,10,214.5,219,221,41864.0,43145,2287875.0,205,219,214.5,206,219,70,83,0,10,0,1
4KiB,1,320,321,10,216.5,220,221,49668.0,51216.2,2255234.0,236,257,254.5,237,258,63,84,0,10,0,1
4KiB,10,96,97,10,13.0,14,14,4607.0,4943.6,162644.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,10,114,115,10,103.5,216,223,14098.0,12086,105190.0,114,114,115.0,115,115,0,0,0,10,0,1
