workload,gap_tsc_ticks,k_prefill,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,min_trace_completed,max_trace_completed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
10MiB,1,160,10,209.0,214,216,12682.0,12801.2,2249495.0,3,3,131,131,30,30,0,10,0,1
10MiB,1,192,10,208.0,216,216,20329.0,20264.6,2222495.0,3,3,131,131,62,62,0,10,0,1
10MiB,1,224,10,212.0,220,222,27412.0,27318.4,2231184.0,3,3,131,131,94,94,0,10,0,1
10MiB,1,256,10,210.5,214,217,35087.0,35020.8,2234913.0,3,3,131,131,126,126,0,10,0,1
10MiB,1,288,10,212.0,217,217,42366.0,42293.2,2234551.0,3,3,131,131,158,158,0,10,0,1
10MiB,1,320,10,212.0,217,227,49903.0,49956.4,2278172.0,3,3,131,131,190,190,0,10,0,1
10MiB,10,96,10,9.0,11,66,8474.0,8204.4,2230130.0,3,3,97,97,0,0,0,10,0,1
10MiB,10,114,10,9.0,9,10,9042.0,8094.6,2215913.0,2,3,115,115,0,0,0,10,0,1
10MiB,10,128,10,9.0,9,9,9412.0,9305,2244839.0,3,3,129,129,0,0,0,10,0,1
10MiB,10,160,10,210.0,216,221,12593.0,12719.8,2243110.0,3,3,131,131,30,30,0,10,0,1
10MiB,10,192,10,212.0,218,223,20390.0,20348.2,2241699.0,3,3,131,131,62,62,0,10,0,1
10MiB,10,224,10,211.5,215,215,27734.0,27678.4,2218629.0,3,3,131,131,94,94,0,10,0,1
10MiB,10,256,10,209.5,215,222,35384.0,35105.6,2239646.0,3,3,131,131,126,126,0,10,0,1
10MiB,10,288,10,212.5,217,218,42623.0,42427.8,2222461.0,3,3,131,131,158,158,0,10,0,1
10MiB,10,320,10,212.5,217,217,49489.0,49697.8,2292349.0,3,3,131,131,190,190,0,10,0,1
10MiB,25,96,10,9.0,9,10,9812.0,9076.2,2228860.0,3,3,97,97,0,0,0,10,0,1
10MiB,25,114,10,9.0,10,11,10521.0,10134,2208998.0,3,3,115,115,0,0,0,10,0,1
10MiB,25,128,10,9.0,11,12,11165.0,10136,2243430.0,3,3,129,129,0,0,0,10,0,1
10MiB,25,160,10,215.0,217,219,12850.0,12925.2,2245560.0,3,3,131,131,30,30,0,10,0,1
10MiB,25,192,10,212.5,217,218,20348.0,20289.8,2227132.0,3,3,131,131,62,62,0,10,0,1
10MiB,25,224,10,215.0,220,221,27847.0,27544,2226728.0,3,3,131,131,94,94,0,10,0,1
10MiB,25,256,10,210.5,216,217,35143.0,34906.2,2250529.0,3,3,131,131,126,126,0,10,0,1
10MiB,25,288,10,212.0,217,217,42705.0,44895.4,2226858.0,3,3,131,131,158,158,0,10,0,1
10MiB,25,320,10,209.0,216,217,50261.0,50064,2276840.0,3,3,131,131,190,190,0,10,0,1
10MiB,50,96,10,9.0,10,10,12214.0,11435,2225667.0,3,3,97,97,0,0,0,10,0,1
10MiB,50,114,10,9.0,9,11,13824.0,13475.4,2203970.0,3,3,115,115,0,0,0,10,0,1
10MiB,50,128,10,9.0,11,86,14574.0,13964.2,2239313.0,3,3,129,129,0,0,0,10,0,1
10MiB,50,160,10,9.5,10,12,16768.0,16660,2259570.0,3,3,131,131,30,30,0,10,0,1
10MiB,50,192,10,212.0,216,217,20174.0,19865.4,2249075.0,3,3,131,131,62,62,0,10,0,1
10MiB,50,224,10,212.0,216,217,27516.0,27303.4,2224248.0,3,3,131,131,94,94,0,10,0,1
10MiB,50,256,10,9.0,9,9,42958.0,42813.4,2237219.0,3,3,131,131,126,126,0,10,0,1
10MiB,50,288,10,214.5,217,220,41882.0,41950,2305893.0,3,3,131,131,158,158,0,10,0,1
10MiB,50,320,10,212.5,214,214,49876.0,49888.8,2276795.0,3,3,131,131,190,190,0,10,0,1
10MiB,100,96,10,9.0,9,11,16218.0,16233,2233955.0,3,3,97,97,0,0,0,10,0,1
10MiB,100,114,10,9.0,10,10,18416.0,18439.8,2250334.0,3,3,115,115,0,0,0,10,0,1
10MiB,100,128,10,9.0,10,10,20105.0,20179,2247254.0,3,3,129,129,0,0,0,10,0,1
10MiB,100,160,10,9.0,10,10,24078.0,24204.6,2245459.0,3,3,131,131,30,30,0,10,0,1
10MiB,100,192,10,9.0,10,12,28103.0,28407,2253215.0,3,3,131,131,62,62,0,10,0,1
10MiB,100,224,10,9.0,10,11,31427.0,31914.2,2234234.0,3,3,131,131,94,94,0,10,0,1
10MiB,100,256,10,206.5,215,215,35971.0,36147.4,2222474.0,3,3,131,131,126,126,0,10,0,1
10MiB,100,288,10,216.5,220,221,42421.0,42651,2308704.0,3,3,131,131,158,158,0,10,0,1
10MiB,100,320,10,216.0,221,227,49947.0,49987,2288319.0,3,3,131,131,190,190,0,10,0,1
10MiB,150,96,10,9.0,10,11,21040.0,21070.8,2225823.0,3,3,97,97,0,0,0,10,0,1
10MiB,150,114,10,9.0,10,13,24573.0,24431.2,2249809.0,3,3,115,115,0,0,0,10,0,1
10MiB,150,128,10,9.0,10,15,26906.0,26788.4,2230611.0,3,3,129,129,0,0,0,10,0,1
10MiB,150,160,10,9.0,10,16,32513.0,32277.6,2229246.0,3,3,131,131,30,30,0,10,0,1
10MiB,150,192,10,9.0,10,12,38396.0,38589.8,2238613.0,3,3,131,131,62,62,0,10,0,1
10MiB,150,224,10,9.0,10,14,43359.0,42833.2,2269632.0,3,3,131,131,94,94,0,10,0,1
10MiB,150,256,10,9.0,10,10,49405.0,49454.6,2233652.0,3,3,131,131,126,126,0,10,0,1
10MiB,150,288,10,9.0,10,10,54909.0,56224.2,2288479.0,3,3,131,131,158,158,0,10,0,1
10MiB,150,320,10,9.5,10,11,60727.0,60575.4,2349606.0,3,3,131,131,190,190,0,10,0,1
10MiB,200,96,10,9.0,10,10,25393.0,25193.2,2226278.0,3,3,97,97,0,0,0,10,0,1
10MiB,200,114,10,9.0,9,10,29462.0,29464,2229636.0,3,3,115,115,0,0,0,10,0,1
10MiB,200,128,10,9.0,9,12,32363.0,32449.4,2236777.0,3,3,129,129,0,0,0,10,0,1
10MiB,200,160,10,9.0,10,10,39733.0,39703.4,2229338.0,3,3,131,131,30,30,0,10,0,1
10MiB,200,192,10,9.0,10,11,47212.0,47174.8,2262118.0,3,3,131,131,62,62,0,10,0,1
10MiB,200,224,10,10.0,10,11,54152.0,54078.8,2298922.0,3,3,131,131,94,94,0,10,0,1
10MiB,200,256,10,9.0,9,9,61096.0,61129.4,2228863.0,3,3,131,131,126,126,0,10,0,1
10MiB,200,288,10,9.0,10,11,68434.0,68421.2,2287904.0,3,3,131,131,158,158,0,10,0,1
10MiB,200,320,10,9.0,10,317,75025.0,75318.4,2287542.0,3,3,131,131,190,190,0,10,0,1
10MiB,300,96,10,9.0,10,10,34484.0,34447.4,2219810.0,3,3,97,97,0,0,0,10,0,1
10MiB,300,114,10,9.0,10,12,40463.0,40510.6,2244766.0,3,3,115,115,0,0,0,10,0,1
10MiB,300,128,10,9.0,10,10,44923.0,44676.6,2225183.0,3,3,129,129,0,0,0,10,0,1
10MiB,300,160,10,9.0,9,10,55235.0,55864.4,2237394.0,3,3,131,131,30,30,0,10,0,1
10MiB,300,192,10,9.0,10,11,65996.0,66092.8,2278238.0,3,3,131,131,62,62,0,10,0,1
10MiB,300,224,10,9.0,10,10,76108.0,76042.2,2292673.0,3,3,131,131,94,94,0,10,0,1
10MiB,300,256,10,9.0,10,10,86293.0,86146,2221495.0,3,3,131,131,126,126,0,10,0,1
10MiB,300,288,10,9.0,9,10,96877.0,96867.4,2287017.0,3,3,131,131,158,158,0,10,0,1
10MiB,300,320,10,9.0,9,10,107173.0,107403.4,2251737.0,3,3,131,131,190,190,0,10,0,1
100MiB,0,96,1,79,79,79,1672,1672,2242616,0,0,16,16,81,81,0,0,1,255
100MiB,0,114,1,204,204,204,1352,1352,2260582,0,0,16,16,99,99,0,0,1,255
100MiB,0,128,1,205,205,205,4260,4260,2269820,0,0,16,16,113,113,0,0,1,255
100MiB,0,160,1,209,209,209,12198,12198,2214660,0,0,16,16,145,145,0,0,1,255
